Brend,Code,Position,Link,Deal ID
Alpha Futures,INVEST,5,https://www.wethrift.com/alpha-futures,
Phidias Propfirm,INVEST,6,https://www.wethrift.com/phidias-propfirm,
FXIFY Futures,INVEST,4,https://www.wethrift.com/fxify-futures,
Traders with Edge,INVEST,2,https://www.wethrift.com/traders-with-edge,
Breakout Prop,INVEST,5,https://www.wethrift.com/breakout-prop,
Klein Funding,INVEST15,5,https://www.wethrift.com/klein-funding,
Klein Funding,INVEST25,6,https://www.wethrift.com/klein-funding,
My Crypto Funding,INVEST,4,https://www.wethrift.com/my-crypto-funding,
Snowball Analytics,INVEST,5,https://www.wethrift.com/snowball-analytics,
Stock Analysis,INVEST,4,https://www.wethrift.com/stock-analysis,
GetHookd,SAVE30,2,https://www.wethrift.com/gethookd,
Luxe Cosmetics,INVEST25,1,https://www.wethrift.com/lure-cosmetics,
Lucid Trading,INVEST,3,https://www.wethrift.com/lucid-trading,
Nostro,INVEST,3,https://www.wethrift.com/nostro,
Sabio Trade,INVEST,6,https://www.wethrift.com/sabiotrade,
Rebels Funding,INVEST,2,https://www.wethrift.com/rebels-funding,
OFP Funding,INVEST,4,https://www.wethrift.com/ofp-funding,
